gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3
rpl14,0.057s,0.0504s,0.0484*s,0.057000000000000002,0.058999999999999997,0.052200000000000003,0.062,0.058999999999999997,0.052200000000000003,0.062,0.058999999999999997,0.052200000000000003
rps7,0.007*,0.0337*,0.0329*,0.007*s,0.0337*s,0.0329*s,0.007*,0.0337*,0.0329*,0.007*,0.0337*,0.0329*
rps4,0.27200000000000002,0.121,0.28699999999999998,0.271s,0.284s,0.287s,0.27100000000000002,0.28299999999999997,0.28599999999999998,0.27100000000000002,0.28299999999999997,0.28599999999999998
ndhI,4e-05*s,0.000122*s,0.000363*s,3e-05*,0.00011*,0.000231*,3e-05*,0.00011*,0.000231*,3e-05*,0.00011*,0.000231*
rpl23,0.11600000000000001,0.0431*,0.0339*,0.11799999999999999,0.159,0.155,0.118s,0.159s,0.155s,0.11799999999999999,0.159,0.155
psbF,0.022*s,0.0008*s,0.0163*s,0.022*,0.0154*,0.0158*,0.022*,0.0154*,0.0158*,0.022*,0.0154*,0.0158*
rpoC1,0.017*,0.0151*,0.0145*,0.053999999999999999,0.052600000000000001,0.0504,0.0005*s,0.0524s,0.0494*s,0.0005*,0.052400000000000002,0.0494*
psbE,0.216,0.19800000000000001,0.20499999999999999,0.16200000000000001,0.19700000000000001,0.20599999999999999,0.059s,0.197s,0.205s,0.058999999999999997,0.19700000000000001,0.20499999999999999
rps16,9e-06*,0.000321*,1.67e-80*,4e-08*s,0.000558*s,9.16e-27*s,4e-08*,0.000558*,2.25e-18*,4e-08*,0.000558*,2.25e-18*
ycf1,0.015*,0.0092*,0.0133*,0.021*s,0.0197*s,0.0171*s,0.021*,0.0226*,0.0171*,0.021*,0.0197*,0.0171*
ndhH,0.145s,0.144s,0.152s,0.041*,0.0348*,0.0406*,0.041*,0.0336*,0.0408*,0.041*,0.0336*,0.0408*
rpl16,0.009*,0.0129*,0.00789*,0.137s,0.148s,0.138s,0.13700000000000001,0.14799999999999999,0.13800000000000001,0.13700000000000001,0.14799999999999999,0.13800000000000001
rps12,0.017*,0.0872,0.088900000000000007,0.018*s,0.0877s,0.0878s,0.018*,0.0877,0.087800000000000003,0.018*,0.0877,0.087800000000000003
rps18,0.197s,0.186s,3.26e-36*s,0.19600000000000001,0.184,0.187,0.19600000000000001,0.184,0.187,0.19600000000000001,0.184,0.187
petG,0.1s,0.194s,0.107s,0.10199999999999999,0.29599999999999999,0.29099999999999998,0.10199999999999999,0.29599999999999999,0.29199999999999998,0.10199999999999999,0.29599999999999999,0.29199999999999998
psbB,0.027*,0.025*,0.02*,0.026*s,0.0251*s,0.0199*s,0.026*,0.0254*,0.0202*,0.026*,0.0254*,0.0202*
rpl22,0.004*,0.0044*,0.00533*,0.004*s,0.00422*s,0.00266*s,0.004*,0.00422*,0.00425*,0.004*,0.00422*,0.00347*
ndhA,9e-08*,1.76e-62*,3.79e-08*,9e-08*s,1.22e-62*s,3.79e-08*s,8e-08*,2.13e-67*,1.17e-07*,8e-08*,2.13e-67*,1.17e-07*
ndhF,0.012*,0.0161*,0.014*,0.042*s,0.0484*s,0.0408*s,0.042*,0.0484*,0.0408*,0.042*,0.0484*,0.0408*
