gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA,0.021,0.0213,0.0212,0.083,0.087,0.0864,0.083,0.087,0.0864,0.083,0.087,0.0864,4.582,10.679,9.817
rpl32,3e-05,0.0117,0.0139,0.001,0.0115,0.0142,0.014,0.0115,0.00821,0.014,0.0115,0.00684,1.389,3.074,3.563
ndhH,0.157,0.158,0.145,0.039,0.0385,0.0356,0.039,0.0385,0.0356,0.039,0.0385,0.0355,7.363,11.653,12.772
rbcL,0.039,0.0424,0.0449,0.001,0.0097,0.00912,0.006,0.00965,0.00905,0.006,0.00632,0.00905,8.908,14.778,14.096
matK,0.015,0.0164,0.015,0.233,0.231,0.238,0.232,0.231,0.238,0.232,0.231,0.238,9.367,24.07,25.362
rpl2,0.014,0.0128,0.0117,0.123,0.119,0.128,0.123,0.119,0.128,0.123,0.119,0.128,9.565,5.208,4.575
ndhI,0.0002,0.000194,4.4e-05,0.0002,0.000304,5.75e-05,0.0002,0.000199,4.92e-05,0.0002,0.000199,4.92e-05,3.547,6.126,5.579
rpl14,0.022,0.0389,0.0347,0.04,0.0391,0.0351,0.04,0.0391,0.0351,0.04,0.0391,0.035,1.791,3.436,3.531
ycf4,0.004,0.00524,0.00723,0.015,0.0162,0.018,0.015,0.0164,0.0183,0.015,0.0164,0.018,2.596,4.201,3.994
psbE,0.167,0.174,0.17,0.167,0.0606,0.00084,0.167,0.174,0.17,0.167,0.174,0.167,1.945,0.943,0.884
psbC,0.029,0.0305,0.0219,0.53,0.532,0.523,0.53,0.413,0.525,0.53,0.426,0.525,8.994,16.296,17.256
rpoA,0.004,0.00606,0.0068,0.017,0.0208,0.0213,0.017,0.0205,0.0213,0.017,0.0209,0.0213,4.526,16.781,18.373
ccsA,1e-10,0.000238,1.8e-05,0.0002,7.49e-07,1.68e-06,0.0002,7.49e-07,1.68e-06,0.0002,1.84e-06,1.68e-06,4.125,14.056,11.762
rps15,0.061,0.0627,0.0719,0.06,0.0627,0.0705,0.06,0.0627,0.0705,0.06,0.0627,0.0705,1.021,2.299,2.195
ndhC,0.015,0.0169,0.0135,0.015,0.0172,0.0141,0.015,0.0168,0.0146,0.015,0.0171,0.0146,1.264,2.117,2.83
psbK,6e-07,4.48e-06,4.82e-70,6e-07,4.5e-06,1.4e-70,0.045,0.0438,0.0429,0.045,0.044,0.0525,0.984,1.492,1.435
rps19,0.002,0.00381,0.00344,0.007,0.00955,0.0104,0.007,0.00955,0.0103,0.007,0.00955,0.0104,1.335,1.904,1.944
ycf1,0.014,0.0142,0.0119,0.023,0.0187,0.0223,0.023,0.0187,0.0223,0.023,0.0182,0.0223,37.351,260.174,251.534
rps12,0.08,0.0848,0.0857,0.067,0.0844,0.0869,0.067,0.0844,0.0869,0.067,0.0844,0.0869,4.373,2.18,2.057
psbD,0.016,0.0132,0.0129,0.015,0.0131,0.013,0.015,0.0131,0.013,0.015,0.0131,0.013,4.586,4.65,4.358
rpoC2,0.001,0.00114,0.00113,0.003,0.00184,0.00142,0.003,0.00184,0.00142,0.003,0.00184,0.00138,16.036,92.387,83.815
psbH,0.085,0.0864,0.0832,0.05,0.0881,0.0839,0.05,0.0881,0.0839,0.05,0.0881,0.0839,1.21,1.454,1.533
psbJ,7e-06,1.95e-06,4.44e-09,7e-06,1.94e-06,1.9e-08,7e-06,1.94e-06,4.4e-09,7e-06,1.94e-06,4.39e-09,0.77,1.177,1.167
ndhB,0.003,0.00119,0.00164,0.008,0.00754,0.00593,0.008,0.00753,0.0059,0.008,0.00754,0.00594,9.01,4.153,3.703
rpoB,0.03,0.0332,0.0271,0.281,0.287,0.284,0.281,0.287,0.283,0.281,0.287,0.283,13.027,48.292,39.286
rpl33,0.068,0.0666,0.0674,0.068,0.0666,0.0674,0.073,0.0729,0.0745,0.073,0.0728,0.0745,1.071,2.493,2.621
clpP,0.001,0.000343,0.00138,0.042,0.051,0.0476,0.038,0.0504,0.0476,0.038,0.0509,0.0476,8.807,29.632,29.928
ycf2,0.013,0.0131,0.012,0.409,0.409,0.414,0.409,0.407,0.415,0.409,0.408,0.415,31.975,125.594,106.004
petD,0.004,0.00385,0.00395,0.029,0.0303,0.029,0.029,0.0303,0.029,0.029,0.0303,0.029,5.552,19.373,21.359
psbI,0.0002,1.36e-05,1.12e-06,0.0002,1.36e-05,1.12e-06,0.0002,1.36e-05,1.12e-06,0.0002,1.36e-05,1.12e-06,0.722,0.516,0.515
ndhF,0.013,0.0123,0.0143,0.031,0.0396,0.0356,0.031,0.0397,0.0359,0.031,0.0397,0.0359,13.732,35.599,32.068
ndhD,0.002,0.00255,0.00564,0.014,0.0143,0.0175,0.014,1.85e-05,0.0175,0.014,0.0142,0.0175,6.442,21.936,18.822
psaI,0.003,0.00176,0.00312,0.003,0.00176,0.00312,0.003,0.0023,0.00382,0.003,0.0023,0.00382,0.732,0.898,0.769
psbT,7e-08,2.52e-06,1.47e-05,7e-08,2.5e-06,1.47e-05,7e-08,2.5e-06,1.47e-05,7e-08,2.5e-06,1.47e-05,0.539,0.376,0.424
atpI,0.054,0.0546,0.0561,0.254,0.244,0.266,0.254,0.244,0.265,0.254,0.244,0.265,2.247,3.271,4.038
rpl20,0.011,0.00896,0.01,0.016,0.0136,0.0131,0.016,0.0136,0.0131,0.016,0.0136,0.0131,2.642,6.631,6.315
atpB,0.042,0.0444,0.0353,0.043,0.0442,0.036,0.007,0.0442,0.0359,0.007,0.0442,0.0359,5.771,15.883,13.89
ndhA,4e-30,2.82e-45,0.000559,4e-30,1.5e-45,0.000559,6e-37,1.67e-52,0.000594,6e-37,1.67e-52,0.000594,10.315,78.068,57.741
rpoC1,0.018,0.0146,0.0123,0.05,0.0552,0.0519,0.0001,0.00429,0.00416,0.0001,0.0114,0.00279,10.184,47.009,47.251
atpA,0.143,0.14,0.15,0.143,0.139,0.15,0.068,0.0695,0.0718,0.068,0.0695,0.0718,6.559,14.466,21.055
psbM,0.008,0.00941,0.00499,0.008,0.00941,0.00444,0.008,0.00941,0.00499,0.008,0.00941,0.00499,0.691,0.437,0.547
rps3,0.29,0.268,0.28,0.137,0.128,0.134,0.137,0.00209,6.99e-35,0.137,0.000202,2.81e-49,3.46,7.411,8.078
rps8,0.017,0.0628,0.0549,0.058,0.0628,0.0542,0.016,0.0181,0.0181,0.016,0.0181,0.0181,1.842,4.362,4.183
atpH,0.007,0.00812,0.0061,0.007,0.00811,0.00598,0.011,0.0129,0.00874,0.011,0.0129,0.00874,1.202,0.988,0.971
ndhE,0.002,0.000855,0.0012,0.002,0.00038,0.000539,0.002,0.000784,0.000503,0.002,0.000797,0.0011,1.402,2.835,2.45
rps16,5e-07,5.8e-05,8.89e-09,2e-10,0.000152,1.48e-17,2e-10,0.000152,2.54e-23,2e-10,0.000152,1.48e-17,3.216,27.149,26.378
rps2,0.14,0.0735,0.0818,0.14,0.0744,0.0821,0.121,0.0744,0.0822,0.121,0.0744,0.0822,2.183,4.217,4.054
psbL,0.002,0.00474,0.00271,0.0004,0.00474,0.00171,0.0004,0.00474,0.00171,0.0004,0.00474,0.00171,0.627,0.379,0.362
rpl23,0.165,0.117,0.125,0.165,0.117,0.125,0.165,0.117,0.125,0.165,0.117,0.125,1.044,0.569,0.638
petG,0.106,0.107,0.105,0.106,0.107,0.105,0.106,0.107,0.105,0.106,0.107,0.105,0.589,0.373,0.416
ycf3,0.027,0.0265,0.0284,0.015,0.0259,0.0289,0.028,0.0259,0.0295,0.028,0.0259,0.0295,5.597,27.709,30.407
atpE,0.349,0.326,0.348,0.365,0.388,0.385,0.365,0.388,0.385,0.365,0.388,0.385,1.393,2.719,2.975
psaB,2e-05,0.0313,0.0365,0.031,0.0305,0.0354,0.031,0.031,0.0366,0.031,0.0311,0.0363,5.956,19.017,19.211
psbN,0.018,0.0191,0.0198,0.001,0.0191,0.0187,0.001,0.0191,0.0112,0.001,0.0191,0.0187,0.635,0.33,0.331
psaJ,0.014,0.0439,0.0425,0.014,0.0249,0.0261,0.046,0.0437,0.0433,0.046,0.0437,0.0428,0.669,0.474,0.598
rps4,0.259,0.164,0.208,0.0003,0.254,0.278,0.0003,0.255,0.252,0.0003,0.255,0.278,1.908,2.87,3.098
psbZ,3e-05,0.000207,0.000352,0.0002,0.000187,0.000352,0.0002,0.000198,0.000352,0.0002,0.000214,0.000352,0.84,0.912,1.12
rpl36,0.031,0.0276,0.0354,0.03,0.0195,0.0251,0.03,0.0195,0.0251,0.03,0.0195,0.0251,0.576,0.97,1.198
accD,0.104,0.104,0.108,0.105,0.105,0.11,0.03,0.0318,0.0319,0.03,0.0317,0.0318,4.161,17.254,17.113
atpF,0.089,0.151,0.0875,0.134,0.131,0.128,0.134,0.132,0.127,0.134,0.132,0.127,3.716,12.361,11.251
ndhK,0.065,0.0579,0.0656,0.065,0.0582,0.0664,0.065,0.0582,0.0664,0.065,0.0582,0.0664,2.607,2.852,3.197
psbB,0.016,0.0362,0.0234,0.022,0.0403,0.0285,0.022,0.0404,0.0428,0.022,0.0403,0.0286,4.306,14.842,15.302
petA,0.002,0.00263,0.00294,0.035,0.0344,0.0398,0.11,0.118,0.125,0.11,0.118,0.125,2.815,9.015,11.944
petN,0.417,0.422,0.429,0.417,0.422,0.429,0.417,0.422,0.429,0.417,0.422,0.429,0.995,0.5,0.543
psbF,0.026,0.0158,0.0174,0.026,0.0158,0.0175,0.026,0.0158,0.0145,0.026,0.0158,0.0175,1.109,0.391,0.445
rpl16,0.011,0.0093,0.0114,0.136,0.146,0.14,0.136,0.146,0.14,0.136,0.146,0.14,6.104,26.068,29.158
