gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpoA,0.004,0.00618,0.00679,0.017,0.0232,0.0218,0.017,0.0234,0.0216,0.017,0.0232,0.0217,4.24,16.034,16.035
ccsA,3e-05,2.06e-99,1.33e-05,1e-09,5.04e-06,1.13e-09,1e-09,1.44e-07,2.01e-09,1e-09,1.8e-07,2.01e-09,3.808,13.28,11.977
rps15,0.055,0.0718,0.0673,0.055,0.071,0.0673,0.055,0.071,0.0673,0.055,0.071,0.0673,1.265,1.825,2.069
ndhC,0.018,0.015,0.0159,0.018,0.0143,0.017,0.018,0.0144,0.017,0.018,0.0144,0.017,1.257,2.404,3.034
psbK,3e-09,3.11e-30,3.89e-12,3e-09,4.59e-30,4e-12,0.047,0.044,0.0398,0.047,0.044,0.0431,1.017,1.586,1.584
rps19,0.002,0.00471,0.00653,0.008,0.0102,0.0118,0.008,0.00964,0.0118,0.008,0.0102,0.0118,1.328,2.421,2.574
ycf1,0.014,0.0124,0.0149,0.024,0.0172,0.0219,0.024,0.0174,0.0223,0.024,0.0173,0.0219,31.22,231.242,211.28
rps12,0.086,0.0926,0.0935,0.076,0.0926,0.0943,0.076,0.0926,0.0943,0.076,0.0926,0.0943,2.663,1.463,1.518
psbD,0.015,0.0137,0.0134,0.015,0.0136,0.00335,0.015,0.0136,0.0132,0.015,0.0136,0.013,3.069,3.355,3.389
rpoC2,0.003,0.000102,0.002,0.001,0.00125,0.00246,0.001,0.00125,0.00246,0.001,0.00125,0.00246,10.652,70.883,87.464
psbH,0.1,0.0881,0.0959,0.052,0.089,0.097,0.052,0.089,0.097,0.052,0.089,0.097,1.752,1.648,1.72
psbJ,8e-93,4.47e-109,9.82e-55,2e-93,2.2e-60,2.93e-54,2e-93,1.3e-63,2.79e-54,2e-93,1.11e-76,4.66e-54,1.116,1.252,1.402
ndhB,0.001,0.00213,0.00203,0.005,0.00651,0.00848,0.004,0.00651,0.00838,0.004,0.00651,0.00825,14.064,5.869,4.731
rpoB,0.027,0.0261,0.0325,0.279,0.274,0.28,0.279,0.272,0.28,0.279,0.272,0.28,12.802,51.477,40.924
rpl33,0.061,0.0717,0.0656,0.061,0.0717,0.0656,0.067,0.0787,0.0722,0.067,0.08,0.0718,1.218,2.953,2.772
clpP,0.001,0.000968,0.00105,0.05,0.0497,0.0519,0.05,0.0498,0.0518,0.05,0.0497,0.0518,9.89,31.014,28.721
ycf2,0.012,0.0108,0.0116,0.409,0.383,0.386,0.409,0.383,0.385,0.409,0.383,0.386,26.725,124.841,114.057
petD,0.002,0.00247,0.00251,0.027,0.0254,0.0259,0.027,0.0254,0.0259,0.027,0.0254,0.0259,8.768,20.524,21.664
psbI,0.0001,5.11e-23,2.74e-05,0.0001,7.23e-14,9.48e-06,0.0001,1.82e-13,9.49e-06,0.0001,7.24e-14,9.48e-06,1.036,0.607,0.588
ndhF,0.018,0.0105,0.0116,0.031,0.0412,0.0389,0.031,0.0403,0.0391,0.031,0.0403,0.0391,11.718,40.464,32.75
ndhD,0.003,0.00342,0.00579,0.014,0.0159,0.0125,0.014,0.0159,3.28e-05,0.014,0.0156,0.0119,9.889,21.498,20.121
psaI,0.002,0.00376,0.00144,0.002,0.00376,0.00144,0.004,0.00389,0.0023,0.004,0.00389,0.0023,0.794,0.938,1.003
psbT,1e-05,3.72e-65,5.75e-35,1e-05,6.76e-66,6.1e-35,1e-05,6.76e-66,6.1e-35,1e-05,6.76e-66,6.1e-35,0.679,0.605,0.655
atpI,0.06,0.0564,0.0533,0.266,0.264,0.254,0.266,0.267,0.254,0.266,0.267,0.254,3.249,4.692,4.431
rpl20,0.011,0.00806,0.0113,0.016,0.0111,0.0153,0.016,0.0111,0.0153,0.016,0.0111,0.0153,2.093,6.838,6.672
atpB,0.043,0.0411,0.0459,0.043,0.0415,0.0457,0.007,0.0415,0.0453,0.007,0.0415,0.0453,6.158,16.731,16.483
ndhA,2e-28,4.4e-08,6.78e-05,2e-28,4.4e-08,6.78e-05,1e-45,1.3e-07,3.79e-05,1e-45,1.3e-07,3.79e-05,15.051,82.044,64.092
rpoC1,0.015,0.0132,0.0165,0.052,0.0497,0.0511,5e-05,0.0112,0.0041,5e-05,0.00962,0.0074,10.476,50.628,47.807
atpA,0.15,0.137,0.142,0.149,0.137,0.142,0.071,0.0654,0.0663,0.071,0.0654,0.0663,7.211,18.128,19.606
psbM,0.006,0.00942,0.00976,0.006,0.00867,0.00976,0.006,0.00942,0.00976,0.006,0.00942,0.00976,1.036,0.714,0.818
rps3,0.284,0.263,0.273,0.126,0.128,0.131,0.126,0.129,3.64e-33,0.126,0.129,2.88e-05,2.973,7.969,8.304
rps8,0.058,0.0584,0.0564,0.058,0.0588,0.0562,0.016,0.0165,0.016,0.016,0.0165,0.016,1.982,4.953,5.355
atpH,0.006,0.00632,0.00629,0.006,0.00632,0.00629,0.011,0.00715,0.00862,0.011,0.00715,0.00238,1.28,1.04,1.139
ndhE,0.001,0.00137,0.000418,0.001,0.00137,0.000432,0.001,0.00137,0.000441,0.001,0.00137,0.000431,2.255,3.372,3.306
rps16,3e-08,8.46e-13,1.11e-07,1e-05,9.57e-06,6.24e-06,1e-05,9.57e-06,6.24e-06,1e-05,9.57e-06,6.24e-06,7.182,34.049,31.065
rps2,0.133,0.0713,0.0788,0.133,0.072,0.0784,0.062,0.0722,0.0788,0.062,0.0722,0.0788,4.778,6.001,5.517
psbL,0.002,0.0046,0.00347,0.0001,0.0046,0.00192,0.0001,0.0046,0.00192,0.0001,0.0046,0.00192,1.131,0.71,0.634
rpl23,0.158,0.119,0.116,0.158,0.119,0.116,0.158,0.119,0.116,0.158,0.119,0.116,2.011,0.862,0.886
petG,0.104,0.1,0.108,0.104,0.1,0.108,0.104,0.1,0.108,0.104,0.1,0.108,0.735,0.655,0.594
ycf3,0.028,0.0308,0.0272,0.016,0.031,0.0277,0.028,0.031,0.0277,0.028,0.031,0.0277,8.12,34.605,38.653
atpE,0.366,0.312,0.334,0.376,0.375,0.391,0.376,0.375,0.391,0.376,0.375,0.391,2.037,3.735,4.028
psaB,0.035,0.0386,0.0307,0.035,0.0378,0.0302,0.035,0.0385,0.0308,0.035,0.0384,0.0309,8.738,26.103,24.049
psbN,0.011,0.0185,0.0216,0.002,0.0181,0.0214,0.002,0.0181,0.0218,0.002,0.0181,0.0217,1.179,0.539,0.557
psaJ,0.01,0.0477,0.0488,0.01,0.0329,0.0235,0.043,0.0474,0.0488,0.043,0.0477,0.049,0.918,0.688,0.84
rps4,0.259,0.171,0.183,6e-05,0.254,0.253,0.0002,0.254,0.252,0.0002,0.254,0.252,3.986,4.258,4.505
psbZ,4e-05,0.000529,0.000273,0.0003,0.000534,0.000271,0.0003,0.000534,0.000293,0.0003,0.000534,0.000174,1.246,1.59,1.674
rpl36,0.029,0.0318,0.034,0.022,0.0303,0.00353,0.022,0.0303,0.00353,0.022,0.0303,0.00353,1.078,1.524,1.727
accD,0.116,0.101,0.108,0.117,0.102,0.108,0.034,0.0314,0.032,0.034,0.0314,0.032,7.572,22.368,20.925
atpF,0.084,0.0819,0.104,0.124,0.126,0.144,0.125,0.126,0.142,0.125,0.126,0.142,5.352,15.135,14.214
ndhK,0.067,0.0638,0.0567,0.068,0.0626,0.0572,0.068,0.0626,0.0572,0.068,0.0626,0.0572,5.67,4.269,4.495
psbB,0.025,0.0277,0.0341,0.026,0.0379,0.0323,0.026,0.0378,0.0325,0.026,0.0379,0.0325,9.707,20.07,22.231
petA,0.003,0.00323,0.002,0.034,0.0399,0.0391,0.121,0.12,0.124,0.121,0.12,0.124,6.217,12.305,13.767
petN,0.431,0.439,0.442,0.431,0.439,0.442,0.431,0.439,0.442,0.431,0.439,0.442,0.678,0.442,0.485
psbF,0.021,0.0192,0.0214,0.021,0.0192,0.0218,0.021,0.0166,0.022,0.021,0.0192,0.0217,0.955,0.418,0.456
rpl16,0.01,0.0103,0.00928,0.142,0.143,0.146,0.142,0.143,0.146,0.142,0.143,0.146,6.183,26.475,28.781
