gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbF_cd,5e-05*s,2.41e-10*s,5.13e-07*s,0.767,0.472,0.514
accD_cd,0.003*s,0.00554*s,0.00444*s,13.032,15.69,19.084
psbB_cd,0.204s,0.199s,0.221s,5.329,8.925,9.226
rpl2_cd,0.173s,0.19s,0.188s,2.898,5.516,6.297
rpl33_cd,0.009*s,0.00743*s,0.00786*s,1.203,1.643,1.584
atpA_cd,0.1s,0.0934s,0.0905s,4.534,9.657,10.31
rpoB_cd,0.058s,0.0651s,0.0533s,11.472,24.694,18.035
rpl32_cd,0.002*s,0.00276*s,0.003*s,1.414,1.704,1.958
ndhA_cd,0.05*s,0.0526s,0.0519s,3.791,6.557,5.83
atpI_cd,0.088s,0.0716s,0.0833s,2.47,4.526,5.794
psaB_cd,0.072s,0.0881s,0.0725s,6.043,11.398,12.305
psbD_cd,5e-05*s,2.39e-74*s,2.7e-06*s,3.194,5.228,5.361
rps14_cd,0.045*s,0.0407*s,0.0456*s,1.214,1.811,1.767
psbK_cd,0.198s,0.196s,0.195s,0.77,1.342,1.29
rps11_cd,0.026*s,0.0248*s,0.0261*s,1.83,2.868,2.625
rps19_cd,0.032*s,0.0265*s,0.0302*s,1.813,4.137,3.846
ccsA_cd,0.129s,0.128s,0.118s,3.633,5.985,5.197
psaA_cd,0.232s,0.235s,0.226s,6.653,10.163,10.078
cemA_cd,0.179s,0.162s,0.167s,2.628,4.241,4.416
rpl14_cd,0.024*s,0.0238*s,0.0275*s,1.543,2.3,2.119
rpl23_cd,0.006*s,0.00941*s,0.0106*s,1.336,3.5,3.472
clpP_cd,0.004*s,0.00353*s,0.00204*s,2.972,5.229,4.348
ndhI_cd,0.021*s,0.0224*s,0.0246*s,1.876,2.828,2.734
rbcL_cd,0.003*s,0.00384*s,0.00459*s,4.528,5.912,5.511
ndhE_cd,0.01*s,0.00817*s,0.0106*s,1.191,1.736,1.949
petB_cd,0.094s,0.108s,0.0972s,2.181,3.845,3.478
ndhC_cd,0.042*s,0.038*s,0.0461*s,1.537,1.97,2.35
rps16_cd,0.044*s,0.0437*s,0.0451*s,1.398,2.134,2.186
psbT_cd,0.0001*s,0.000107*s,0.000227*s,0.892,1.439,1.488
ndhD_cd,0*s,0.0599s,0.0517s,0.04,10.185,11.224
rps18_cd,0.067s,0.0733s,0.0718s,3.766,6.753,5.794
ycf3_cd,0*s,0.158s,0.161s,0.035,3.569,3.726
psaC_cd,0.001*s,0.000658*s,0.000811*s,1.091,1.737,1.716
petL_cd,0.002*s,0.0022*s,0.0013*s,0.547,1.334,1.528
atpE_cd,0.058s,0.0581s,0.0608s,1.762,2.997,2.615
psaI_cd,0.001*s,0.00123*s,0.00274*s,0.626,1.132,1.165
rps8_cd,0.013*s,0.0126*s,0.0151*s,1.806,2.544,3.046
psaJ_cd,0.0001*s,0.00519*s,0.0046*s,1.147,1.72,1.961
matK_cd,0.013*s,0.0155*s,0.0156*s,6.043,10.273,9.272
rps15_cd,0.086s,0.0913s,0.0872s,1.334,1.717,1.693
ndhH_cd,0*s,0.131s,0.125s,0.039,6.504,6.284
ycf1_cd,0.223s,0.218s,0.225s,48.154,81.472,81.457
psbA_cd,0.053s,0.0544s,0.0509s,3.221,5.758,6.68
rpl22_cd,0.004*s,0.0025*s,0.00159*s,2.785,3.026,3.834
rpl20_cd,0.021*s,0.0164*s,0.0203*s,2.251,3.408,3.4
rps7_cd,0.024*s,0.0236*s,0.0267*s,2.402,3.914,3.936
ndhJ_cd,0.002*s,0.00101*s,0.000377*s,1.822,2.782,3.141
rps12_cd,0.011*s,0.0113*s,0.0109*s,1.341,1.927,2.098
psbE_cd,0.001*s,0.00148*s,0.0018*s,1.107,1.567,1.77
petA_cd,0.028*s,0.0376*s,0.031*s,3.315,6.108,5.386
rps3_cd,0.234s,0.243s,0.245s,3.373,4.763,4.6
psbM_cd,0.0001*s,0.000541*s,0.000335*s,0.684,0.935,1.066
psbJ_cd,2e-06*s,7.85e-08*s,4.77e-06*s,0.675,1.386,1.603
rpoA_cd,0.01*s,0.0118*s,0.0104*s,4.837,8.409,10.875
