gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
psbA,0.021,0.022,0.0203,0.08,0.097,0.0896,0.08,0.097,0.0896,0.08,0.097,0.0896,4.631,8.748,7.461
rpl32,0.013,0.0114,0.016,0.013,0.0115,0.0159,0.013,0.0112,0.0159,0.013,0.0112,0.0159,0.74,2.254,3.026
ndhH,0.148,0.152,0.157,0.038,0.0402,0.0394,0.038,0.0402,0.0394,0.038,0.0402,0.0394,4.629,8.389,10.743
rbcL,0.036,0.0416,0.032,0.001,0.00886,0.00532,0.004,0.00884,0.00532,0.004,0.00884,0.00532,5.957,13.85,13.239
matK,0.013,0.0142,0.0167,0.219,0.22,0.227,0.22,0.221,0.227,0.22,0.221,0.227,5.877,25.515,23.116
rpl2,0.014,0.00931,0.0136,0.122,0.125,0.117,0.122,0.125,0.117,0.122,0.125,0.117,5.84,3.398,3.225
ndhI,0.0001,0.000492,1.36e-05,0.0001,0.000363,6.84e-06,0.0001,0.000546,0.000398,0.0001,0.000546,0.000398,1.883,5.782,6.049
rpl14,0.033,0.0399,0.0341,0.048,0.0406,0.0343,0.048,0.041,0.0351,0.048,0.0408,0.0344,2.641,3.542,3.741
ycf4,0.005,0.0036,0.00563,0.016,0.016,0.0172,0.016,0.0159,0.0171,0.016,0.016,0.0172,3.279,3.714,3.647
psbE,0.165,0.171,0.189,0.165,0.0406,0.179,0.165,0.171,0.189,0.165,0.171,0.19,1.298,0.853,0.794
psbC,0.022,0.0242,0.0249,0.538,0.539,0.532,0.538,0.538,0.533,0.538,0.538,0.533,5.74,14.569,12.45
rpoA,0.005,0.00527,0.00366,0.018,0.0167,0.0203,0.018,0.0168,0.0203,0.018,0.0167,0.0203,3.012,13.654,17.921
ccsA,6e-06,1.6e-07,6.82e-06,0.001,7.07e-06,1.78e-11,0.001,7.07e-06,1.78e-11,0.001,7.07e-06,1.78e-11,4.08,13.658,13.311
rps15,0.059,0.0718,0.0684,0.058,0.0709,0.0694,0.058,0.0709,0.0694,0.058,0.0709,0.0694,1.405,2.8,2.608
ndhC,0.012,0.0171,0.0123,0.013,0.0148,0.0125,0.013,0.0149,0.0125,0.013,0.0149,0.0125,1.82,3.208,3.334
psbK,1e-72,4.8e-05,4.74e-08,8e-73,4.8e-05,4.75e-08,0.05,0.046,0.0565,0.05,0.046,0.0563,1.446,1.74,1.674
rps19,0.003,0.00226,0.00188,0.008,0.0064,0.00577,0.008,0.00644,0.00552,0.008,0.0064,0.00577,2.007,2.646,2.78
ycf1,0.014,0.00964,0.0143,0.023,0.0225,0.0255,0.023,0.0227,0.0256,0.023,0.0226,0.0249,38.142,247.078,247.619
rps12,0.078,0.0815,0.082,0.069,0.0824,0.0824,0.069,0.0824,0.0824,0.069,0.0824,0.0824,3.921,2.117,1.793
psbD,0.014,0.0132,0.0155,0.014,0.0131,0.0153,0.014,0.0131,0.0153,0.014,0.0131,0.0153,3.184,3.371,3.608
rpoC2,0.0004,0.000688,0.000655,0.002,0.00114,0.00195,0.002,0.00114,0.00195,0.002,0.00114,0.00195,24.995,92.714,80.215
psbH,0.09,0.0765,0.0833,0.05,0.0772,0.0843,0.05,0.0772,0.0843,0.05,0.0772,0.0843,1.207,1.505,1.666
psbJ,5e-19,9.74e-08,1.64e-05,5e-19,1.11e-07,1.64e-05,5e-19,4.24e-08,1.64e-05,5e-19,1.53e-08,1.64e-05,0.807,1.158,1.34
ndhB,0.001,0.0024,0.00146,0.005,0.00733,0.00619,0.005,0.00733,0.00615,0.005,0.00733,0.00619,12.647,5.292,4.7
rpoB,0.027,0.0304,0.0299,0.294,0.263,0.27,0.294,0.265,0.271,0.294,0.265,0.271,12.526,45.705,41.707
rpl33,0.058,0.0644,0.069,0.058,0.0644,0.069,0.065,0.0692,0.0758,0.065,0.0703,0.0766,1.319,2.04,2.477
clpP,0.0003,0.000288,0.000649,0.045,0.0473,0.0571,0.044,0.0471,0.0573,0.044,0.0473,0.0572,7.193,29.046,27.337
ycf2,0.011,0.0118,0.0126,0.411,0.409,0.412,0.411,0.408,0.411,0.411,0.409,0.412,24.619,119.432,103.907
petD,0.002,0.00377,0.00323,0.023,0.0295,0.0273,0.023,0.0295,0.0273,0.023,0.0295,0.0273,5.481,17.17,20.778
psbI,1e-12,8.43e-07,6.2e-05,1e-12,4.33e-07,6.2e-05,1e-12,5.63e-07,6.2e-05,1e-12,4.86e-07,6.2e-05,0.809,0.55,0.524
ndhF,0.016,0.0199,0.0127,0.039,0.0434,0.0442,0.039,0.044,0.0434,0.039,0.044,0.0434,13.529,32.953,24.471
ndhD,0.002,0.00157,0.00417,0.021,0.0138,0.014,0.021,0.0138,0.014,0.021,0.0137,0.014,4.358,16.564,14.545
psaI,0.003,0.00214,0.00258,0.003,0.00214,0.00258,0.004,0.00422,0.00267,0.004,0.00422,0.00267,0.573,0.592,0.704
psbT,2e-06,4.63e-05,6.59e-06,2e-06,4.62e-05,6.64e-06,2e-06,4.62e-05,6.64e-06,2e-06,4.62e-05,6.64e-06,0.538,0.376,0.397
atpI,0.054,0.0607,0.0516,0.253,0.265,0.264,0.253,0.266,0.264,0.253,0.266,0.264,2.251,3.418,3.306
rpl20,0.01,0.0104,0.00795,0.014,0.017,0.0145,0.014,0.017,0.0145,0.014,0.017,0.0145,1.506,4.895,5.124
atpB,0.046,0.046,0.0387,0.046,0.0448,0.0387,0.004,0.0453,0.0386,0.004,0.0453,0.0386,4.222,13.329,11.338
ndhA,2e-10,1.65e-143,4.43e-72,2e-10,1.3e-128,7.4e-64,2e-10,1.73e-47,2.89e-19,2e-10,1.73e-47,2.89e-19,6.929,62.665,53.297
rpoC1,0.016,0.0157,0.0163,0.056,0.0519,0.0577,0.001,0.00389,0.00651,0.001,0.00268,0.00946,7.227,40.91,37.233
atpA,0.151,0.149,0.154,0.152,0.149,0.153,0.075,0.0656,0.0694,0.075,0.0656,0.0694,4.273,15.306,22.157
psbM,0.008,0.00758,0.00772,0.008,0.00579,0.00772,0.008,0.00758,0.00772,0.008,0.00758,0.00772,1.01,0.724,0.746
rps3,0.288,0.277,0.27,0.127,0.134,0.136,0.127,1.69e-51,1.8e-34,0.127,1.05e-05,4.31e-49,2.94,8.05,8.762
rps8,0.064,0.0607,0.0628,0.064,0.0599,0.0634,0.02,0.0178,0.0174,0.02,0.0178,0.0174,1.961,4.734,5.358
atpH,0.006,0.00679,0.00862,0.006,0.00678,0.00863,0.009,0.0107,0.0116,0.009,0.0107,0.0116,1.267,1.039,1.003
ndhE,0.001,0.00104,0.00107,0.001,0.000696,0.000739,0.001,0.0011,0.00104,0.001,0.00111,0.00105,1.839,3.365,3.146
rps16,2e-05,1.26e-08,2.44e-50,9e-06,1.01e-07,3.36e-05,9e-06,1.01e-07,3.36e-05,9e-06,1.01e-07,3.36e-05,4.612,33.622,31.504
rps2,0.132,0.07,0.0724,0.132,0.07,0.0726,0.117,0.0707,0.0715,0.117,0.0707,0.0715,3.049,5.887,5.151
psbL,0.002,0.0018,0.00117,0.001,0.000196,0.000535,0.001,0.000196,0.000535,0.001,0.000196,0.000535,0.794,0.618,0.552
rpl23,0.159,0.119,0.122,0.159,0.119,0.122,0.159,0.119,0.122,0.159,0.119,0.122,1.407,0.892,0.9
petG,0.098,0.0992,0.106,0.098,0.0988,0.106,0.098,0.0992,0.106,0.098,0.0992,0.106,0.776,0.513,0.543
ycf3,0.025,0.0262,0.0244,0.026,0.0261,0.0248,0.026,0.0261,0.0249,0.026,0.0261,0.0249,8.229,36.213,39.799
atpE,0.361,0.322,0.337,0.373,0.383,0.388,0.373,0.383,0.388,0.373,0.383,0.388,2.9,3.806,4.044
psaB,0.0,0.031,0.0389,0.035,0.0303,0.0391,0.035,0.031,0.0396,0.035,0.0311,0.0396,10.734,26.255,24.142
psbN,0.016,0.0163,0.0149,0.002,0.0167,0.0149,0.002,0.00783,0.0153,0.002,0.0164,0.0149,1.167,0.532,0.607
psaJ,0.008,0.0424,0.0385,0.008,0.0265,0.0209,0.037,0.043,0.0389,0.037,0.0427,0.0386,1.202,0.87,0.82
rps4,0.265,0.179,0.18,2e-20,0.271,0.253,0.002,0.271,0.252,0.002,0.271,0.252,2.668,3.969,4.299
psbZ,4e-06,9.28e-05,0.00068,6e-05,0.00032,0.000678,6e-05,0.000302,0.000678,6e-05,0.000324,0.00073,1.101,1.412,1.54
rpl36,0.032,0.0305,0.0358,0.004,0.00346,0.0105,0.004,0.00346,0.0105,0.004,0.00345,0.0105,0.756,1.378,1.586
accD,0.106,0.119,0.101,0.109,0.117,0.103,0.029,0.0327,0.0269,0.029,0.0331,0.0269,5.887,22.126,20.461
atpF,0.093,0.157,0.0836,0.138,0.136,0.144,0.138,0.136,0.144,0.138,0.136,0.144,5.258,15.041,13.545
ndhK,0.057,0.0622,0.0643,0.058,0.0623,0.0636,0.058,0.0623,0.0636,0.058,0.0623,0.0636,3.739,3.924,4.159
psbB,0.02,0.0403,0.0334,0.021,0.0326,0.0326,0.021,0.0328,0.0323,0.021,0.0326,0.0326,6.168,18.323,20.022
petA,0.003,0.00327,0.00202,0.048,0.0385,0.0359,0.139,0.119,0.118,0.139,0.119,0.118,4.058,12.246,13.796
petN,0.432,0.401,0.428,0.432,0.401,0.428,0.432,0.401,0.428,0.432,0.401,0.428,0.675,0.496,0.489
psbF,0.023,0.0234,0.014,0.023,0.0228,0.0141,0.023,0.0181,0.0144,0.023,0.0228,0.0144,0.75,0.394,0.417
rpl16,0.012,0.0111,0.00778,0.134,0.13,0.133,0.134,0.13,0.133,0.134,0.13,0.133,6.185,26.034,29.369
