gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rbcL,0.028,0.032,0.0299,0.007,0.00661,0.00427,0.007,0.00653,0.00402,0.007,0.00653,0.00402,8.37,14.133,15.317
matK,0.013,0.0173,0.016,0.23,0.215,0.227,0.229,0.216,0.227,0.229,0.216,0.227,8.928,24.975,28.243
rpl2,0.013,0.0149,0.0112,0.118,0.131,0.125,0.118,0.131,0.125,0.118,0.131,0.125,8.728,4.923,4.884
ndhI,3e-05,2.72e-05,6.22e-05,4e-05,3.89e-05,0.000153,4e-05,3.93e-05,0.000153,4e-05,3.93e-05,0.000153,3.236,5.661,5.485
rpl14,0.053,0.0567,0.0479,0.053,0.0635,0.055,0.058,0.0636,0.0547,0.058,0.0636,0.0547,2.416,3.282,3.037
ycf4,0.006,0.00383,0.00313,0.019,0.0159,0.0175,0.019,0.0159,0.0175,0.019,0.0159,0.0175,3.509,3.891,4.108
psbE,0.224,0.2,0.184,0.2,0.201,0.184,0.2,0.2,0.185,0.2,0.2,0.169,1.794,0.826,0.776
psbC,0.023,0.0253,0.0239,0.518,0.501,0.521,0.518,0.485,0.522,0.518,0.526,0.522,8.086,15.091,15.544
rpoA,0.004,0.00783,0.00506,0.02,0.0239,0.0244,0.02,0.0239,0.0244,0.02,0.0239,0.0244,5.987,16.129,19.2
ccsA,0.001,3.33e-05,9.95e-06,2e-08,6.79e-06,1.13e-05,2e-08,1.15e-07,1.13e-05,2e-08,5.84e-06,1.13e-05,5.624,13.537,13.577
rps15,0.074,0.0726,0.0621,0.074,0.0721,0.0617,0.074,0.0721,0.0617,0.074,0.0721,0.0617,1.76,2.547,2.784
ndhC,0.051,0.0668,0.0756,0.039,0.0539,0.0628,0.039,0.0539,0.0627,0.039,0.0539,0.0627,2.279,2.814,2.654
psbK,1e-06,5.6e-07,7.77e-11,1e-06,5.59e-07,7.96e-11,1e-06,1.28e-06,2.72e-06,1e-06,1.28e-06,2.72e-06,1.307,1.449,1.488
rps19,0.004,0.00356,0.00448,0.009,0.0144,0.0193,0.009,0.0144,0.0192,0.009,0.0144,0.0192,1.787,2.309,2.214
ycf1,0.015,0.0145,0.00953,0.021,0.02,0.0124,0.021,0.02,0.0166,0.021,0.0168,0.0166,24.352,242.635,200.287
rps12,0.014,0.0846,0.0828,0.014,0.0848,0.0824,0.014,0.0848,0.0825,0.014,0.0848,0.0825,3.457,1.971,1.884
psbD,0.019,0.0218,0.018,0.019,0.022,0.0182,0.019,0.0216,0.0177,0.019,0.0216,0.0177,4.728,4.02,3.935
rpoC2,0.001,0.00139,0.00086,0.002,0.00241,0.0112,0.002,0.00241,0.0112,0.002,0.00241,0.0112,11.623,70.249,72.827
psbH,0.203,0.229,0.202,0.19,0.227,0.202,0.19,0.227,0.202,0.19,0.227,0.202,1.661,1.49,1.593
psbJ,1e-07,1.86e-10,2.61e-07,1e-07,2.61e-11,2.54e-07,1e-07,2.59e-11,2.56e-07,1e-07,2.59e-11,2.56e-07,1.076,1.207,1.223
ndhB,0.005,0.00323,0.00447,0.009,0.0106,0.0117,0.009,0.0106,0.0117,0.009,0.0106,0.0117,9.238,5.56,4.811
rpoB,0.025,0.0258,0.0273,0.261,0.253,0.272,0.261,0.253,0.271,0.261,0.253,0.271,19.942,56.092,48.558
rpl33,0.059,0.0562,0.00867,0.058,0.0552,0.0614,0.058,0.0557,0.0612,0.058,0.0557,0.0612,1.146,2.69,2.672
clpP,0.001,0.000671,0.000869,0.045,0.0545,0.046,0.043,0.0365,0.0321,0.043,0.0309,0.0321,11.945,30.304,34.237
ycf2,0.012,0.0131,0.0109,0.402,0.4,0.392,0.402,0.4,0.392,0.402,0.4,0.392,40.131,125.746,104.954
petD,0.003,0.00257,0.00517,0.025,0.0266,0.0305,0.025,0.0266,0.0305,0.025,0.0266,0.0305,5.659,18.475,20.235
psbI,9e-05,0.00058,0.000997,0.0001,0.000629,0.000979,0.0001,0.000629,0.000979,0.0001,0.000629,0.000979,0.993,0.519,0.573
ndhF,0.019,0.0152,0.012,0.044,0.0387,0.0398,0.044,0.0398,0.0398,0.044,0.0398,0.0398,13.857,34.267,29.081
ndhD,0.002,0.00271,0.00218,0.009,0.00916,0.0101,0.009,0.00917,0.0101,0.009,0.00917,0.0101,6.048,17.85,22.488
psaI,0.001,0.00419,0.0032,0.001,0.00419,0.0032,0.001,0.00646,0.0042,0.001,0.00646,0.0042,1.02,0.946,0.983
psbT,0.005,0.00567,0.002,0.005,0.00559,0.00508,0.001,0.00566,0.00519,0.001,0.00566,0.00519,0.932,1.122,1.289
atpI,0.069,0.067,0.0724,0.359,0.345,0.367,0.359,0.345,0.367,0.359,0.345,0.367,4.623,4.674,4.13
rpl20,0.023,0.0204,0.0221,0.053,0.0456,0.0491,0.053,0.0456,0.0491,0.053,0.0456,0.0491,2.366,6.619,7.065
atpB,0.011,0.0427,0.0445,0.011,0.043,0.0442,0.011,0.0426,0.0439,0.011,0.0426,0.0439,6.139,17.174,15.495
ndhA,4e-06,1.54e-102,1.41e-90,4e-06,4.61e-102,1.28e-90,2e-06,7.98e-80,4.39e-69,2e-06,7.98e-80,4.39e-69,9.962,64.527,61.414
rpoC1,0.016,0.0133,0.0131,0.051,0.0483,0.0549,2e-05,0.048,0.0561,2e-05,0.048,0.0561,14.165,42.875,45.583
atpA,0.039,0.153,0.16,0.149,0.151,0.16,0.075,0.0692,0.0739,0.075,0.0692,0.0739,6.33,18.064,21.72
psbM,0.007,0.00891,0.00828,0.007,2.61e-46,0.00828,0.007,2.61e-46,0.00828,0.007,2.61e-46,0.00828,0.978,0.685,0.697
rps3,0.264,0.256,0.258,0.121,0.102,0.101,0.121,0.103,0.101,0.121,0.103,0.101,4.162,8.238,8.163
rps8,0.065,0.0827,0.0806,0.065,0.0733,0.0738,0.016,0.0224,0.024,0.016,0.0224,0.024,2.869,4.617,4.648
atpH,0.008,0.00656,0.00487,0.008,0.00657,0.00487,0.012,0.00849,0.00742,0.012,0.00849,0.00742,1.174,0.635,0.919
ndhE,0.002,0.00312,0.00178,0.002,0.00291,0.00202,0.002,0.00295,0.00202,0.002,0.00295,0.00202,1.448,2.178,2.348
rps16,8e-08,5.75e-08,0.000115,6e-08,2.49e-12,2.18e-06,6e-08,8.31e-12,2.18e-06,6e-08,8.31e-12,2.18e-06,4.069,31.91,33.173
rps2,0.033,0.0261,0.0294,0.033,0.0255,0.0289,0.032,0.0263,0.0287,0.032,0.0263,0.0287,4.513,5.775,5.029
psbL,0.003,0.00171,0.00296,0.003,0.00173,0.00293,0.003,0.00162,0.00293,0.003,0.00162,0.00293,0.774,0.627,0.52
rpl23,0.118,0.0488,0.0426,0.119,0.15,0.158,0.119,0.15,0.158,0.119,0.15,0.158,1.456,1.044,0.901
petG,0.103,0.182,0.302,0.104,0.301,0.3,0.104,0.303,0.3,0.104,0.303,0.3,1.068,0.411,0.423
ycf3,0.022,0.0194,0.0205,0.022,0.0196,0.00811,0.023,0.0196,0.0208,0.023,0.0196,0.0208,8.154,33.207,31.854
atpE,0.355,8.72e-78,0.4,0.4,0.163,0.4,0.4,0.406,0.4,0.4,0.406,0.4,2.737,3.74,2.952
psaB,0.019,0.0409,0.0417,0.048,0.0406,0.0423,0.048,0.0412,0.0422,0.048,0.0412,0.0422,7.778,21.662,26.113
psbN,0.018,0.0203,0.0161,0.018,0.0201,0.0159,0.018,0.0201,0.0159,0.018,0.0201,0.0159,1.107,0.525,0.454
psaJ,0.011,0.0136,0.0499,0.044,0.0536,0.0448,0.044,0.0536,0.0448,0.044,0.0536,0.0448,0.768,0.76,0.702
rps4,0.264,0.269,0.274,0.261,0.27,0.272,0.261,0.269,0.272,0.261,0.269,0.272,3.201,2.856,2.86
psbZ,0.036,0.0441,0.0389,0.037,0.0446,0.0386,0.037,0.00102,0.00138,0.037,0.0446,0.032,0.783,0.842,0.988
rpl36,0.03,0.0387,0.0442,0.003,0.0383,0.00487,0.003,0.0385,0.00487,0.003,0.0385,0.00487,0.564,1.113,1.552
accD,0.156,0.166,0.152,0.158,0.165,0.154,0.046,0.046,0.0454,0.046,0.046,0.0454,6.095,21.764,20.922
atpF,0.295,0.299,0.288,0.263,0.264,0.254,0.263,0.265,0.255,0.263,0.265,0.255,7.955,15.654,16.713
ndhK,0.065,0.0627,0.0525,0.064,0.0626,0.0523,0.064,0.0626,0.0523,0.064,0.0626,0.0523,5.695,4.382,4.493
psbB,0.024,0.0218,0.0256,0.024,0.022,0.0251,0.024,0.0221,0.0255,0.024,0.0221,0.0255,9.87,19.833,16.878
petA,0.004,0.00173,0.00287,0.039,0.0395,0.037,0.117,0.12,0.122,0.117,0.12,0.122,4.096,12.132,14.065
petN,0.209,0.442,0.42,0.208,0.443,0.418,0.208,0.443,0.418,0.208,0.443,0.418,0.896,0.489,0.453
psbF,0.022,0.0169,0.0175,0.022,0.017,0.0175,0.022,0.017,0.0175,0.022,0.017,0.0175,0.752,0.392,0.395
rpl16,0.008,0.00918,0.00802,0.154,0.14,0.14,0.154,0.14,0.14,0.154,0.14,0.14,5.992,25.437,26.156
