gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
rpl32_ge,0.006*s,0.00599*s,0.008*s,1.507,2.224,2.322
psbD_ge,9e-87*s,2.49e-59*s,7.05e-50*s,2.961,5.335,5.212
rps4_ge,0.026*s,0.0304*s,0.0308*s,2.491,4.066,4.766
psbK_ge,0.212s,0.2s,0.223s,0.846,1.367,1.511
rpl33_ge,0.001*s,0.00268*s,0.0016*s,1.13,1.623,1.985
rpoC2_ge,0.295s,0.292s,0.3s,17.935,26.886,32.72
ndhG_ge,0.041*s,0.0429*s,0.0414*s,2.155,3.04,2.78
ndhE_ge,0.017*s,0.0172*s,0.0171*s,1.183,1.656,1.753
psaC_ge,0.002*s,0.00227*s,0.00233*s,1.04,1.489,1.51
rps16_ge,0.067s,0.0778s,0.0741s,8.72,19.255,18.723
petL_ge,0.002*s,0.00118*s,0.00181*s,0.564,1.276,1.536
ndhJ_ge,0.002*s,0.00102*s,0.00158*s,1.707,2.543,3.065
ndhF_ge,0.096s,0.0969s,0.0867s,9.298,12.755,11.912
psbL_ge,0.0001*s,0.00013*s,0.000125*s,1.576,1.138,1.301
rpl14_ge,0.019*s,0.0109*s,0.0128*s,1.643,2.236,2.331
petD_ge,0.332s,0.332s,0.328s,8.197,10.584,12.427
atpE_ge,0.111s,0.11s,0.127s,1.66,2.764,2.581
ycf1_ge,0.121s,0.128s,0.129s,38.525,113.298,103.545
ndhB_ge,0.02*s,0.017*s,0.0162*s,6.694,13.313,12.134
ndhH_ge,0.081s,0.0755s,0.0731s,3.908,5.472,6.584
psbB_ge,0.241s,0.248s,0.248s,4.855,6.921,6.948
ndhA_ge,0.09s,0.0921s,0.0889s,12.719,27.048,23.699
rps3_ge,0.266s,0.278s,0.282s,3.48,4.589,4.69
rps15_ge,0.05*s,0.0572s,0.0497*s,1.227,1.655,1.497
ccsA_ge,0.103s,0.0919s,0.106s,3.673,5.677,4.988
rps18_ge,0.027*s,0.0246*s,0.0219*s,3.047,6.117,7.201
rpoA_ge,0.027*s,0.0313*s,0.0322*s,4.771,8.033,7.943
atpH_ge,0.01*s,0.00802*s,0.00762*s,0.969,1.51,1.554
psbZ_ge,0.013*s,0.00629*s,0.00765*s,0.896,1.173,1.181
rps2_ge,0.031*s,0.025*s,0.0243*s,3.165,5.243,6.288
psbA_ge,0.039*s,0.0287*s,0.0329*s,3.09,5.254,6.232
psbF_ge,2e-06*s,1.37e-13*s,3.3e-05*s,0.668,0.516,0.534
rpl22_ge,0.012*s,0.0115*s,0.0165*s,2.472,3.369,4.431
rpl23_ge,0.015*s,0.0163*s,0.0151*s,1.393,3.209,3.911
clpP_ge,0.032*s,0.0294*s,0.0296*s,14.847,23.892,23.008
ycf4_ge,0.03*s,0.0354*s,0.0299*s,2.152,3.478,3.332
rps7_ge,0.018*s,0.0153*s,0.0118*s,2.414,3.421,4.423
ndhD_ge,0.067s,0.0641s,0.0654s,5.075,9.324,8.725
petB_ge,0.086s,0.0847s,0.0872s,6.748,10.703,13.46
