gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0,CONSEL_hypo1,IQTree_hypo1,IQTree2_hypo1,CONSEL_hypo2,IQTree_hypo2,IQTree2_hypo2,CONSEL_hypo3,IQTree_hypo3,IQTree2_hypo3,runtime_CONSEL,runtime_IQTree,runtime_IQTree2
ndhI,0.0002,4.9e-05,0.000154,0.0004,0.000138,0.000228,0.0004,0.000153,0.000263,0.0004,0.000153,0.000263,3.162,5.74,5.474
rpl14,0.053,0.0514,0.0514,0.053,0.0616,0.0565,0.059,0.0616,0.0565,0.059,0.0616,0.0565,2.424,3.305,3.052
ycf4,0.007,0.00607,0.00431,0.019,0.0141,0.0148,0.019,0.0141,0.0148,0.019,0.0141,0.0148,3.428,3.911,4.088
psbE,0.219,0.204,0.198,0.141,0.203,0.198,0.051,0.203,0.199,0.051,0.203,0.199,1.802,0.855,0.844
psbC,0.025,0.0263,0.0253,0.517,0.532,0.51,0.517,0.4,0.511,0.517,0.534,0.511,8.108,15.195,16.94
rpoA,0.006,0.00476,0.00448,0.025,0.0224,0.0271,0.025,0.0224,0.0271,0.025,0.0224,0.0271,6.072,16.2,19.222
ccsA,0.0004,7.5e-05,2.35e-72,2e-05,6.53e-05,6.17e-05,2e-05,6.53e-05,6.17e-05,2e-05,6.53e-05,6.17e-05,5.576,13.493,14.973
rps15,0.07,0.0665,0.0597,0.069,0.0658,0.0601,0.069,0.0658,0.0601,0.069,0.0658,0.0601,1.81,2.741,3.039
ndhC,0.045,0.0716,0.0705,0.036,0.0546,0.0556,0.036,0.0546,0.0556,0.036,0.0546,0.0556,2.39,3.18,3.016
psbK,5e-69,4.86e-07,9.88e-06,4e-67,5.05e-07,1.03e-05,4e-67,0.000179,0.000739,4e-67,0.000179,0.000739,1.37,1.528,1.52
rps19,0.003,0.0058,0.00621,0.011,0.0154,0.0176,0.011,0.0154,0.0175,0.011,0.0154,0.0175,1.917,2.616,2.552
ycf1,0.009,0.0106,0.0106,0.02,0.0266,0.0131,0.02,0.026,0.0131,0.02,0.0266,0.0121,44.445,267.486,226.604
rps12,0.019,0.0823,0.0906,0.019,0.0819,0.0908,0.019,0.0819,0.0908,0.019,0.0819,0.0908,5.338,2.307,2.172
psbD,0.024,0.025,0.0232,0.023,0.0246,0.0231,0.023,0.0246,0.023,0.023,0.0246,0.023,6.302,4.747,4.73
rpoC2,0.002,0.00261,0.00174,0.002,0.00207,0.00132,0.002,0.00207,0.00132,0.002,0.00207,0.00132,22.562,77.531,72.015
psbH,0.223,0.228,0.218,0.208,0.225,0.216,0.208,0.225,0.216,0.208,0.225,0.216,1.614,1.521,1.541
psbJ,1e-06,1.62e-12,0.000179,1e-06,1.61e-12,0.000178,1e-06,1.61e-12,0.000178,1e-06,1.61e-12,0.000178,1.03,1.221,1.324
ndhB,0.005,0.00258,0.00438,0.01,0.0129,0.00991,0.01,0.0129,0.00992,0.01,0.0129,0.00992,12.811,5.555,4.853
rpoB,0.028,0.0248,0.0299,0.267,0.253,0.25,0.267,0.253,0.253,0.267,0.253,0.253,12.877,49.487,45.948
rpl33,0.061,0.0655,0.0603,0.062,0.0649,0.0605,0.062,0.0655,0.0611,0.062,0.0655,0.0611,1.152,2.738,2.624
clpP,0.001,0.00066,0.000467,0.046,0.0508,0.0461,0.045,0.0508,0.0364,0.045,0.0313,0.0234,7.788,29.958,31.284
ycf2,0.012,0.0103,0.0109,0.382,0.397,0.403,0.382,0.397,0.403,0.382,0.397,0.403,36.723,127.521,113.901
petD,0.002,0.00284,0.00476,0.031,0.0243,0.0246,0.031,0.0243,0.0246,0.031,0.0243,0.0246,8.086,19.692,22.027
psbI,0.0001,0.00136,0.00158,0.0002,0.00142,0.00141,0.0002,0.00142,0.00141,0.0002,0.00142,0.00141,0.987,0.562,0.507
ndhF,0.014,0.0133,0.0149,0.038,0.0457,0.0366,0.038,0.0448,0.0372,0.038,0.0457,0.0369,13.461,34.76,31.983
ndhD,0.001,0.00165,0.00122,0.013,0.0146,0.00731,0.013,0.0146,0.00731,0.013,0.0146,0.00731,9.127,20.714,22.427
psaI,0.001,0.00366,0.0039,0.001,0.00366,0.0039,0.001,0.00428,0.0049,0.001,0.00428,0.0049,0.987,0.978,1.011
psbT,0.004,0.00265,0.0042,0.005,0.00265,0.00425,0.001,0.00251,0.00409,0.001,0.00251,0.00409,0.946,1.202,1.383
atpI,0.074,0.0735,0.0676,0.363,0.377,0.351,0.363,0.377,0.351,0.363,0.377,0.351,4.58,4.732,4.311
rpl20,0.025,0.0195,0.0219,0.054,0.0483,0.0465,0.054,0.0483,0.0465,0.054,0.0483,0.0465,2.066,6.555,6.831
atpB,0.014,0.0432,0.0439,0.014,0.0428,0.044,0.014,0.0429,0.0432,0.014,0.0429,0.0432,8.645,16.855,19.551
ndhA,9e-06,0.00019,2.64e-48,9e-06,0.00019,1.79e-48,1e-06,0.000219,3.28e-34,1e-06,0.000219,3.28e-34,14.532,67.129,64.56
rpoC1,0.014,0.0162,0.016,0.052,0.0539,0.0531,5e-09,0.0551,0.0526,5e-09,0.0551,0.0526,15.165,41.01,41.997
atpA,0.043,0.154,0.144,0.152,0.155,0.145,0.072,0.0739,0.0652,0.072,0.0739,0.0652,4.918,14.958,18.719
psbM,0.006,0.00965,0.00631,0.008,7.63e-07,0.00631,0.008,7.63e-07,0.00631,0.008,7.63e-07,0.00631,0.565,0.406,0.533
rps3,0.259,0.257,0.25,0.115,0.117,0.0972,0.115,0.117,0.0979,0.115,0.117,0.0979,3.304,5.996,7.719
rps8,0.069,0.0864,0.0824,0.069,0.0802,0.0687,0.018,0.0227,0.0229,0.018,0.0227,0.0229,1.976,4.559,4.538
atpH,0.008,0.00602,0.00623,0.008,0.00602,0.00623,0.011,0.00893,0.0102,0.011,0.00893,0.0102,1.343,1.077,1.038
ndhE,0.001,0.00241,0.000793,0.001,0.00181,0.00202,0.001,0.00181,0.00202,0.001,0.00181,0.00202,1.433,3.005,3.114
rps16,3e-05,2.35e-05,0.000265,1e-07,8.84e-06,0.000105,1e-07,8.84e-06,0.000105,1e-07,1.08e-16,0.000105,4.585,30.217,35.183
rps2,0.03,0.0268,0.0276,0.029,0.0266,0.0199,0.03,0.0266,0.0277,0.03,0.0266,0.0277,2.824,5.058,4.156
psbL,0.002,0.00266,0.00432,0.002,0.00257,0.00423,0.002,0.00257,0.0044,0.002,0.00257,0.0044,0.584,0.351,0.402
rpl23,0.111,0.0475,0.059,0.113,0.163,0.153,0.113,0.163,0.153,0.113,0.163,0.153,1.345,0.979,0.898
petG,0.097,0.172,0.132,0.099,0.299,0.286,0.099,0.3,0.286,0.099,0.3,0.286,0.809,0.634,0.679
ycf3,0.023,0.0201,0.0226,0.024,0.00735,0.0226,0.024,0.0201,0.0226,0.024,0.0201,0.0226,11.408,30.703,29.189
atpE,0.328,0.000114,0.00237,0.373,0.174,0.174,0.373,0.39,0.394,0.373,0.32,0.394,2.818,3.907,3.414
psaB,0.013,0.0471,0.0455,0.042,0.0464,0.0454,0.042,0.0464,0.0461,0.042,0.0464,0.0461,13.229,21.688,24.844
psbN,0.021,0.02,0.0181,0.021,0.0201,0.0181,0.021,0.0201,0.0181,0.021,0.0201,0.0181,1.003,0.339,0.348
psaJ,0.053,0.0542,0.0543,0.044,0.0466,0.0479,0.044,0.0466,0.0479,0.044,0.0466,0.0479,0.613,0.478,0.594
rps4,0.279,0.283,0.292,0.282,0.285,0.293,0.282,0.285,0.29,0.282,0.285,0.29,2.594,3.77,3.044
psbZ,0.032,0.0322,0.0323,0.033,7.13e-11,0.0326,0.033,0.032,4.93e-06,0.033,0.032,0.0216,0.79,0.806,0.962
rpl36,0.028,0.0329,0.0359,0.002,0.0368,0.0404,0.002,0.0368,0.0404,0.002,0.0368,0.0404,0.576,1.052,1.247
accD,0.153,0.161,0.156,0.155,0.161,0.16,0.04,0.0463,0.04,0.04,0.0463,0.04,8.533,20.462,19.613
atpF,0.282,0.282,0.289,0.249,0.258,0.26,0.249,0.258,0.26,0.249,0.258,0.26,5.085,14.26,16.231
ndhK,0.059,0.0609,0.0538,0.059,0.061,0.054,0.059,0.061,0.054,0.059,0.061,0.054,3.55,3.863,3.628
psbB,0.023,0.0258,0.0255,0.027,0.0261,0.0247,0.027,0.026,0.0246,0.027,0.026,0.0246,6.659,16.387,14.906
petA,0.004,0.00207,0.00224,0.041,0.0398,0.0384,0.116,0.118,0.118,0.116,0.118,0.118,2.792,9.098,12.989
petN,0.212,0.422,0.419,0.212,0.424,0.419,0.212,0.424,0.419,0.212,0.424,0.419,0.922,0.521,0.52
psbF,0.018,0.0196,0.019,0.018,0.0196,0.0191,0.018,0.0196,0.0191,0.018,0.0196,0.0191,1.094,0.441,0.484
rpl16,0.009,0.011,0.00973,0.135,0.141,0.138,0.135,0.141,0.138,0.135,0.141,0.138,9.253,26.163,28.276
